Sample	Chromosome	Region_Mb	Segment_Size_Mb	TF_at_correction	Original_Call	Corrected_Call	ichorCNA_logR	QDNAseq_logR	GISTIC_Evidence	Overlapping_Cancer_Gene	Gene_Cytoband	Gene_Coords_hg38	Coordinate_Overlap	Published_CNA_Freq	Direction_Concordance	Literature_Reference	Primary_Evidence_Source	Evidence_Tier	Correction_Confidence	Curation_Applied
B2_S08	chr17	1-15	14	28.4%	AMP	HETD	-0.570	-0.64 (13 frag, all neg)	Deletion peaks only (never AMP)	TP53	17p13.1	chr17:7,668,402-7,687,550	YES (focal, inside)	HOMDEL 2.3% (3/132) MSK MTNN 2022	Concordant (loss=loss)	Canonical PTCL tumour suppressor; Heavican et al. Blood 2019	cBioPortal + literature	Tier 1 (PTCL driver)	STRONG	TRUE
B2_S08	chr6	66-115	49	28.4%	AMP	HETD	-0.531	-0.61 (10 frag, all neg)	Deletion peaks only (never AMP)	BACH2	6q15	chr6:89,831,155-90,227,247	YES (inside)	AMP 1.0% (1/102) [atypical, literature supports loss]	Concordant per literature (loss)	BACH2 recurrently deleted TSG in lymphoma: Sasaki 2000; Hunter et al. 2016; Ravoet et al. 2009 (T-cell)	Literature (corrects cBioPortal AMP)	Tier 2 (lymphoma gene)	MODERATE	TRUE
B2_S15	chr1	1-248	247	24.8%	GAIN	HETD	-0.064	predom. neg	Deletion peaks only	MCL1	1q21.2	chr1:150,547,027-150,552,267	YES (inside, broad seg)	AMP 0.8% (1/131)	DISCORDANT (gene=gain vs call=loss)	MCL1 recurrently amplified anti-apoptotic gene; focal gain may coexist with arm-level loss	cBioPortal + literature	Tier 1 (PTCL driver, caveat)	CAVEAT	TRUE
B2_S15	chr2	98-220	122	24.8%	GAIN	HETD	-0.050	12/12 frag neg	Deletion peaks only (2q37.3, 7q11.22)	PDCD1 (+HDAC4)	2q37.3	chr2:241,849,881-241,858,908	YES (inside, broad seg)	HOMDEL 1.5% (2/131); HDAC4 2.0% MSK MTNN 2022	Concordant (loss=loss)	PDCD1 recurrent PTCL deletion; MSK MTNN 2022	cBioPortal	Tier 1 (PTCL driver)	MODERATE	TRUE
B2_S15	chr3	1-74	73	24.8%	GAIN	HETD	-0.058	5/7 frag neg	Deletion peaks only	RHOA (+SETD2)	3p21.31	chr3:49,396,029-49,449,555	YES (inside, broad seg)	HOMDEL 0.8% (1/131) MSK MTNN 2022	Concordant (loss=loss)	RHOA HOMDEL 3p21.31; SETD2 3p21.31 histone methyltransferase TSG; MSK MTNN 2022	cBioPortal	Tier 1 (PTCL driver)	MODERATE	TRUE
B2_S15	chr10	1-34	33	24.8%	GAIN	HETD	-0.049	9/10 frag neg	Deletion peaks only	GATA3	10p14	chr10:8,045,378-8,075,198	YES (inside)	AMP 0.8% (1/132) [subtype-specific, GATA3 subtype]	DISCORDANT (GATA3 typically amplified in PTCL-NOS GATA3 subtype)	GATA3 amplification defines PTCL-NOS GATA3 subtype; Heavican et al. Blood 2019. Low frequency (0.8%). Patient may not be GATA3 subtype	cBioPortal + literature	Tier 1 (PTCL driver, caveat)	MODERATE	TRUE
B2_S15	chr7	1-52	51	24.8%	GAIN	HETD	-0.082	16/16 frag neg	Deletion peaks only	IKZF1 (Ikaros)	7p12.2	chr7:50,304,993-50,405,101	YES (inside)	IKZF1 del recurrent in ALL (30-75%); 4% in T-ALL/LBL	Concordant (loss=loss)	IKZF1 key lymphoid transcription factor TSG; deletions recurrent in lymphoid malignancies; role in T-cell development. Mullighan et al. NEJM 2009; Kuiper et al. Leukemia 2010	Literature	Tier 2 (lymphoma gene)	MODERATE	TRUE
B2_S15	chr12	1-132	131	24.8%	GAIN	HETD	-0.076	2/2 frag neg	Deletion peaks only	ETV6 (+KMT2D, CDKN1B)	12p13.2 (+12q13.12, 12p13.1)	chr12:11,649,000-11,895,000 (ETV6); chr12:49,018,000-49,062,000 (KMT2D)	YES (all inside, broad seg)	KMT2D mutated 4.6% MSK MTNN 2022; ETV6 del recurrent in ALL	Concordant (loss=loss)	ETV6 canonical leukaemia/lymphoma TSG at 12p13.2; KMT2D histone methyltransferase mutated in PTCL; CDKN1B (p27) cell cycle regulator at 12p13.1. Montpetit et al. Eur J Hum Genet 2002	cBioPortal + literature	Tier 2 (lymphoma gene)	MODERATE	TRUE
B2_S15	chr13	20-93	73	24.8%	GAIN	HETD	-0.068	2/3 frag neg	Deletion peaks only	RB1 (+miR-15a/miR-16-1)	13q14.2	chr13:48,303,747-48,481,890	YES (inside)	RB1 del recurrent in lymphoid malignancies; 13q14 del in 44% B-CLL, 25% NHL, 28% ALL, T-cell lines	Concordant (loss=loss)	RB1 canonical TSG; 13q14 deletion documented in mantle cell and peripheral T-cell lymphomas. Dohner et al. Blood 1999; Stilgenbauer et al. Blood 1998	Literature	Tier 2 (lymphoma gene)	MODERATE	TRUE
B2_S15	chr13	108-113	5	24.8%	GAIN	HETD	-0.048	same range as chr13:20-93	Deletion peaks only	RB1 region (second segment)	13q14.2	chr13:48,303,747-48,481,890	YES (RB1 in broader range)	Same as above	Concordant (loss=loss)	Second segment within same chr13 anomaly range; same evidence basis	Literature	Tier 2 (lymphoma gene)	MODERATE	TRUE
